ISPB,Nome_Reduzido,Número_Código,Participa_da_Compe,Acesso_Principal,Nome_Extenso,Início_da_Operação
27302181,CRED-UFES,427,Não,RSFN,COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,26/04/2021
27351731,REALIZE CFI S.A.,374,Não,RSFN,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.",16/09/2020
27652684,GENIAL INVESTIMENTOS CVM S.A.,278,Não,RSFN,Genial Investimentos Corretora de Valores Mobiliários S.A.,14/05/2018
27842177,IB CCTVM S.A.,271,Não,RSFN,"IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A.",26/02/2018
28127603,BCO BANESTES S.A.,021,Sim,RSFN,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO,22/04/2002
28195667,BCO ABC BRASIL S.A.,246,Sim,RSFN,Banco ABC Brasil S.A.,22/04/2002
28650236,GALAPAGOS DTVM S.A.,292,Não,RSFN,GALAPAGOS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,24/10/2018
28719664,Balcão B3,0,Não,RSFN,Sistema do Balcão B3,22/04/2002
28811341,STONEX BANCO DE CÂMBIO S.A.,554,Não,RSFN,STONEX BANCO DE CÂMBIO S.A.,24/07/2023
29011780,CIP SA C3,n/a,Não,RSFN,CIP S.A,30/01/2012
29030467,Scotiabank Brasil,751,Não,RSFN,Scotiabank Brasil S.A. Banco Múltiplo,22/04/2002
29162769,TORO CTVM S.A.,352,Não,RSFN,TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,29/11/2019
30306294,BANCO BTG PACTUAL S.A.,208,Sim,RSFN,Banco BTG Pactual S.A.,22/04/2002
30680829,NU FINANCEIRA S.A. CFI,386,Não,RSFN,"NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento",12/01/2021
30723886,BCO MODAL S.A.,746,Sim,RSFN,Banco Modal S.A.,22/04/2002
30944783,PAGPRIME IP,557,Não,RSFN,PAGPRIME INSTITUICAO DE PAGAMENTO LTDA,23/10/2023
30980539,U4C INSTITUIÇÃO DE PAGAMENTO S.A.,546,Não,RSFN,U4C INSTITUIÇÃO DE PAGAMENTO S.A.,24/04/2023
31597552,BCO CLASSICO S.A.,241,Sim,RSFN,BANCO CLASSICO S.A.,22/04/2002
31749596,IDEAL CTVM S.A.,398,Não,RSFN,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,11/01/2021
31872495,BCO C6 S.A.,336,Não,RSFN,Banco C6 S.A.,31/01/2019
31880826,BCO GUANABARA S.A.,612,Sim,RSFN,Banco Guanabara S.A.,22/04/2002
31895683,BCO INDUSTRIAL DO BRASIL S.A.,604,Sim,RSFN,Banco Industrial do Brasil S.A.,22/04/2002
32062580,BCO CREDIT SUISSE S.A.,505,Sim,RSFN,Banco Credit Suisse (Brasil) S.A.,22/04/2002
32074986,BEETELLER,550,Não,RSFN,BEETELLER INSTITUIÇÃO DE PAGAMENTO LTDA.,11/09/2023
32192325,UZZIPAY IP S.A.,552,Não,RSFN,UZZIPAY INSTITUIÇÃO DE PAGAMENTO S.A.,13/09/2023
32402502,QI SCD S.A.,329,Não,RSFN,QI Sociedade de Crédito Direto S.A.,30/04/2019
32648370,FAIR CC S.A.,196,Não,Internet,FAIR CORRETORA DE CAMBIO S.A.,11/09/2017
32997490,CREDITAS SCD,342,Não,RSFN,Creditas Sociedade de Crédito Direto S.A.,26/07/2019
33040601,CREDITAQUI FINANCEIRA S.A. - CFI,567,Não,Internet,"CREDITAQUI FINANCEIRA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",28/08/2023
33042151,BCO LA NACION ARGENTINA,300,Sim,RSFN,Banco de la Nacion Argentina,22/04/2002
33042953,CITIBANK N.A.,477,Sim,RSFN,Citibank N.A.,22/04/2002
33132044,BCO CEDULA S.A.,266,Sim,RSFN,BANCO CEDULA S.A.,22/04/2002
33147315,BCO BRADESCO BERJ S.A.,122,Sim,RSFN,Banco Bradesco BERJ S.A.,08/11/2011
33172537,BCO J.P. MORGAN S.A.,376,Não,RSFN,BANCO J.P. MORGAN S.A.,22/04/2002
33264668,BCO XP S.A.,348,Não,RSFN,Banco XP S.A.,01/11/2019
33466988,BCO CAIXA GERAL BRASIL S.A.,473,Não,RSFN,Banco Caixa Geral - Brasil S.A.,31/03/2009
33479023,BCO CITIBANK S.A.,745,Sim,RSFN,Banco Citibank S.A.,22/04/2002
33603457,BCO RODOBENS S.A.,120,Sim,RSFN,BANCO RODOBENS S.A.,06/02/2012
33644196,BCO FATOR S.A.,265,Sim,RSFN,Banco Fator S.A.,22/04/2002
33657248,BNDES,007,Não,RSFN,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,30/06/2014
33667205,CCC POUP INV DO CENTRO NORTE DO BRASIL,583,Não,RSFN,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO NORTE DO BRASIL - CENTRAL SICREDI CENTRO NORTE",15/03/2024
33737818,"CCC POUP INV DE MS, GO, DF E TO",582,Não,RSFN,"COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS - CENTRAL SICREDI BRASIL CENTRAL",08/03/2024
33775974,ATIVA S.A. INVESTIMENTOS CCTVM,188,Não,RSFN,"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES",28/07/2017
33862244,BGC LIQUIDEZ DTVM LTDA,134,Não,RSFN,BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,28/07/2014
33885724,BANCO ITAÚ CONSIGNADO S.A.,029,Não,RSFN,Banco Itaú Consignado S.A.,22/04/2002
33886862,MASTER S/A CCTVM,467,Não,RSFN,"MASTER S/A CORRETORA DE CâMBIO, TíTULOS E VALORES MOBILIáRIOS",16/12/2021
33923798,BANCO MASTER,243,Sim,RSFN,BANCO MASTER S/A,22/04/2002
34088029,LISTO SCD S.A.,397,Não,RSFN,LISTO SOCIEDADE DE CREDITO DIRETO S.A.,15/10/2020
34111187,HAITONG BI DO BRASIL S.A.,078,Não,RSFN,Haitong Banco de Investimento do Brasil S.A.,31/07/2008
34265629,INTERCAM CC LTDA,525,Não,RSFN,INTERCAM CORRETORA DE CÂMBIO LTDA.,05/12/2022
34335592,ÓTIMO SCD S.A.,355,Não,Internet,ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.,21/10/2019
34337707,BMP SCD S.A.,531,Não,RSFN,BMP SOCIEDADE DE CRÉDITO DIRETO S.A,22/05/2023
34747388,ISSUER IP LTDA.,597,Não,RSFN,ISSUER INSTITUICAO DE PAGAMENTO LTDA.,08/03/2024
34829992,REAG DTVM S.A.,528,Não,RSFN,REAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,06/03/2023
35551187,PLANTAE CFI,445,Não,RSFN,"PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",23/06/2021
35810871,Z1 IP LTDA.,586,Não,RSFN,Z1 INSTITUIÇÃO DE PAGAMENTO LTDA.,21/02/2024
